seed,trial_id,hidden_dim,learning_rate,batch_size,alpha,validation_accuracy,test_accuracy,training_time_seconds
42,1,64,0.001,32,0.001,0.9833333333333333,0.975,0.2481389045715332
42,2,128,0.01,32,0.0001,0.975,0.9777777777777777,0.09809279441833496
42,3,64,0.003,32,0.001,0.9805555555555555,0.9777777777777777,0.1403489112854004
42,4,256,0.01,64,0.001,0.9833333333333333,0.975,0.08804607391357422
42,5,256,0.001,32,0.0001,0.9833333333333333,0.9777777777777777,0.3183929920196533
42,6,128,0.003,64,0.001,0.9833333333333333,0.9722222222222222,0.12015891075134277
42,7,256,0.003,64,0.0001,0.9833333333333333,0.9777777777777777,0.1498570442199707
42,8,256,0.01,32,0.001,0.9833333333333333,0.9805555555555555,0.15618610382080078
123,1,64,0.001,32,0.0001,0.9805555555555555,0.9833333333333333,0.2433788776397705
123,2,128,0.003,32,0.0001,0.9805555555555555,0.9833333333333333,0.16763091087341309
123,3,128,0.003,64,0.0001,0.9833333333333333,0.9888888888888889,0.12915396690368652
123,4,128,0.01,64,0.001,0.9777777777777777,0.9833333333333333,0.07503700256347656
123,5,256,0.003,64,0.0001,0.9805555555555555,0.9916666666666667,0.15049028396606445
123,6,128,0.003,64,0.001,0.9833333333333333,0.9888888888888889,0.1227579116821289
123,7,128,0.01,64,0.0001,0.9777777777777777,0.9833333333333333,0.0743260383605957
123,8,128,0.01,32,0.001,0.9805555555555555,0.9805555555555555,0.09808897972106934
999,1,64,0.01,64,0.0001,0.9833333333333333,0.9777777777777777,0.06683802604675293
999,2,128,0.01,32,0.001,0.9888888888888889,0.9805555555555555,0.09693527221679688
999,3,64,0.003,64,0.001,0.975,0.9722222222222222,0.1167442798614502
999,4,64,0.001,64,0.001,0.9777777777777777,0.9722222222222222,0.15205693244934082
999,5,128,0.003,32,0.0001,0.9916666666666667,0.9777777777777777,0.16277027130126953
999,6,256,0.001,64,0.001,0.9833333333333333,0.9722222222222222,0.2651948928833008
999,7,64,0.001,32,0.001,0.975,0.9722222222222222,0.2487928867340088
999,8,64,0.01,32,0.0001,0.9861111111111112,0.975,0.09035801887512207
